"Chr"	"Start"	"End"	"Strand"	"MiRNA"	"cluster"
"330"	"chr4"	112648485	112648557	"-"	"hsa-mir-302b"	"chr4_2"
"331"	"chr4"	159128802	159128894	"-"	"hsa-mir-3688-1"	"chr4_3"
"332"	"chr4"	159128805	159128891	"+"	"hsa-mir-3688-2"	"chr4_3"
"333"	"chr5"	55170532	55170622	"-"	"hsa-mir-449a"	"chr5_1"
"334"	"chr5"	55170646	55170742	"-"	"hsa-mir-449b"	"chr5_1"
"335"	"chr5"	55172262	55172353	"-"	"hsa-mir-449c"	"chr5_1"
"336"	"chr5"	149428918	149429023	"+"	"hsa-mir-143"	"chr5_2"
"337"	"chr5"	149430646	149430733	"+"	"hsa-mir-145"	"chr5_2"
"338"	"chr5"	168560896	168560973	"-"	"hsa-mir-103a-1"	"chr5_3"
"339"	"chr5"	168560904	168560965	"+"	"hsa-mir-103b-1"	"chr5_3"
"340"	"chr6"	6169304	6169435	"-"	"hsa-mir-7853"	"chr6_1"
"341"	"chr6"	6169334	6169409	"+"	"hsa-mir-5683"	"chr6_1"
"342"	"chr6"	32170030	32170116	"-"	"hsa-mir-6721"	"chr6_2"
"343"	"chr6"	32179816	32179876	"+"	"hsa-mir-6833"	"chr6_2"
"344"	"chr6"	33287227	33287289	"-"	"hsa-mir-6873"	"chr6_3"
"345"	"chr6"	33290245	33290325	"+"	"hsa-mir-6834"	"chr6_3"
"346"	"chr6"	52144349	52144434	"+"	"hsa-mir-206"	"chr6_4"
"347"	"chr6"	52148923	52149041	"+"	"hsa-mir-133b"	"chr6_4"
"348"	"chr7"	30289794	30289890	"+"	"hsa-mir-550a-1"	"chr7_1"
"349"	"chr7"	30289794	30289890	"-"	"hsa-mir-550b-1"	"chr7_1"
"350"	"chr7"	32732981	32733077	"-"	"hsa-mir-550b-2"	"chr7_2"
"351"	"chr7"	32732981	32733077	"+"	"hsa-mir-550a-2"	"chr7_2"
"352"	"chr7"	71307672	71307770	"-"	"hsa-mir-3914-1"	"chr7_3"
"353"	"chr7"	71307674	71307768	"+"	"hsa-mir-3914-2"	"chr7_3"
"354"	"chr7"	93482760	93482855	"-"	"hsa-mir-653"	"chr7_4"
"355"	"chr7"	93483936	93484019	"-"	"hsa-mir-489"	"chr7_4"
"356"	"chr7"	97963658	97963726	"+"	"hsa-mir-5692a-1"	"chr7_5"
"357"	"chr7"	97964405	97964481	"-"	"hsa-mir-5692c-2"	"chr7_5"
"358"	"chr7"	100093560	100093643	"-"	"hsa-mir-25"	"chr7_6"
"359"	"chr7"	100093768	100093847	"-"	"hsa-mir-93"	"chr7_6"
"360"	"chr7"	100093993	100094074	"-"	"hsa-mir-106b"	"chr7_6"
"361"	"chr7"	102465742	102465826	"+"	"hsa-mir-5090"	"chr7_7"
"362"	"chr7"	102471469	102471531	"+"	"hsa-mir-4467"	"chr7_7"
"363"	"chr7"	129770383	129770492	"-"	"hsa-mir-182"	"chr7_8"
"364"	"chr7"	129774692	129774769	"-"	"hsa-mir-96"	"chr7_8"
"365"	"chr7"	129774905	129775014	"-"	"hsa-mir-183"	"chr7_8"
"366"	"chr7"	130876747	130876810	"-"	"hsa-mir-29a"	"chr7_9"
"367"	"chr7"	130877459	130877539	"-"	"hsa-mir-29b-1"	"chr7_9"
"368"	"chr8"	6745164	6745244	"+"	"hsa-mir-4659a"	"chr8_1"
"369"	"chr8"	6745168	6745240	"-"	"hsa-mir-4659b"	"chr8_1"
"370"	"chr8"	12719132	12719190	"+"	"hsa-mir-5692a-2"	"chr8_2"
"371"	"chr8"	12727232	12727304	"-"	"hsa-mir-3926-1"	"chr8_2"
"372"	"chr8"	12727237	12727299	"+"	"hsa-mir-3926-2"	"chr8_2"
"373"	"chr8"	27701673	27701767	"-"	"hsa-mir-3622b"	"chr8_3"
"374"	"chr8"	27701677	27701759	"+"	"hsa-mir-3622a"	"chr8_3"
"375"	"chr8"	41660441	41660508	"-"	"hsa-mir-486-1"	"chr8_4"
"376"	"chr8"	41660444	41660507	"+"	"hsa-mir-486-2"	"chr8_4"
"377"	"chr8"	74548543	74548617	"+"	"hsa-mir-5681a"	"chr8_5"
"378"	"chr8"	74548550	74548609	"-"	"hsa-mir-5681b"	"chr8_5"
"379"	"chr8"	95072911	95072996	"-"	"hsa-mir-3150b"	"chr8_6"
"380"	"chr8"	95072914	95072993	"+"	"hsa-mir-3150a"	"chr8_6"
"381"	"chr8"	99536636	99536730	"-"	"hsa-mir-599"	"chr8_7"
"382"	"chr8"	99536786	99536861	"-"	"hsa-mir-875"	"chr8_7"
"383"	"chr8"	123348034	123348130	"+"	"hsa-mir-548aa-1"	"chr8_8"
"384"	"chr8"	123348034	123348130	"-"	"hsa-mir-548d-1"	"chr8_8"
"385"	"chr8"	124821978	124822058	"-"	"hsa-mir-4662b"	"chr8_9"
"386"	"chr8"	124821985	124822051	"+"	"hsa-mir-4662a"	"chr8_9"
"387"	"chr8"	134800520	134800607	"-"	"hsa-mir-30b"	"chr8_10"
"388"	"chr8"	134804876	134804945	"-"	"hsa-mir-30d"	"chr8_10"
"389"	"chr8"	144394149	144394230	"-"	"hsa-mir-939"	"chr8_11"
"390"	"chr8"	144400086	144400165	"-"	"hsa-mir-1234"	"chr8_11"
"391"	"chr8"	144400277	144400345	"-"	"hsa-mir-6849"	"chr8_11"
"392"	"chr9"	41233755	41233835	"+"	"hsa-mir-4477a"	"chr9_1"
"393"	"chr9"	41233755	41233835	"-"	"hsa-mir-4477b"	"chr9_1"
"394"	"chr9"	63819574	63819654	"+"	"hsa-mir-4477b"	"chr9_2"
"395"	"chr9"	63819574	63819654	"-"	"hsa-mir-4477a"	"chr9_2"
"396"	"chr9"	91636251	91636361	"+"	"hsa-mir-3910-1"	"chr9_3"
"397"	"chr9"	91636264	91636345	"-"	"hsa-mir-3910-2"	"chr9_3"
"398"	"chr9"	94175957	94176036	"+"	"hsa-let-7a-1"	"chr9_4"
"399"	"chr9"	94176347	94176433	"+"	"hsa-let-7f-1"	"chr9_4"
"400"	"chr9"	94178834	94178920	"+"	"hsa-let-7d"	"chr9_4"
"401"	"chr9"	95085208	95085304	"+"	"hsa-mir-23b"	"chr9_5"
"402"	"chr9"	95085445	95085541	"+"	"hsa-mir-27b"	"chr9_5"
"403"	"chr9"	95086014	95086094	"-"	"hsa-mir-3074"	"chr9_5"
"404"	"chr9"	95086021	95086088	"+"	"hsa-mir-24-1"	"chr9_5"
"405"	"chr9"	124692442	124692551	"+"	"hsa-mir-181a-2"	"chr9_6"
"406"	"chr9"	124693710	124693798	"+"	"hsa-mir-181b-2"	"chr9_6"
"407"	"chr9"	127785833	127785923	"+"	"hsa-mir-3960"	"chr9_7"
"408"	"chr9"	127785918	127786007	"+"	"hsa-mir-2861"	"chr9_7"
"409"	"chr9"	128244721	128244830	"-"	"hsa-mir-199b"	"chr9_8"
"410"	"chr9"	128244947	128245030	"-"	"hsa-mir-3154"	"chr9_8"
"411"	"chr9"	128392618	128392714	"-"	"hsa-mir-219a-2"	"chr9_9"
"412"	"chr9"	128392621	128392708	"+"	"hsa-mir-219b"	"chr9_9"
"413"	"chr9"	134849298	134849369	"-"	"hsa-mir-3689c"	"chr9_10"
"414"	"chr9"	134849487	134849564	"-"	"hsa-mir-3689a"	"chr9_10"
"415"	"chr9"	134849609	134849682	"-"	"hsa-mir-3689d-1"	"chr9_10"
"416"	"chr9"	134850125	134850272	"-"	"hsa-mir-3689b"	"chr9_10"
"417"	"chr9"	134850277	134850356	"-"	"hsa-mir-3689d-2"	"chr9_10"
"418"	"chr9"	134850570	134850641	"-"	"hsa-mir-3689e"	"chr9_10"
"419"	"chr9"	134850742	134850807	"-"	"hsa-mir-3689f"	"chr9_10"
"420"	"chrX"	45746157	45746266	"-"	"hsa-mir-221"	"chrX_1"
"421"	"chrX"	45747015	45747124	"-"	"hsa-mir-222"	"chrX_1"
"422"	"chrX"	50003148	50003238	"+"	"hsa-mir-532"	"chrX_2"
"423"	"chrX"	50003503	50003588	"+"	"hsa-mir-188"	"chrX_2"
"424"	"chrX"	50008431	50008514	"+"	"hsa-mir-500a"	"chrX_2"
"425"	"chrX"	50008964	50009028	"+"	"hsa-mir-362"	"chrX_2"
"426"	"chrX"	50009722	50009805	"+"	"hsa-mir-501"	"chrX_2"
"427"	"chrX"	50010672	50010750	"+"	"hsa-mir-500b"	"chrX_2"
"428"	"chrX"	50013241	50013337	"+"	"hsa-mir-660"	"chrX_2"
"429"	"chrX"	50014598	50014683	"+"	"hsa-mir-502"	"chrX_2"
"430"	"chrX"	53195411	53195488	"-"	"hsa-mir-6895"	"chrX_3"
"431"	"chrX"	53198889	53198945	"-"	"hsa-mir-6894"	"chrX_3"
"432"	"chrX"	53556223	53556341	"-"	"hsa-mir-98"	"chrX_4"
"433"	"chrX"	53557192	53557274	"-"	"hsa-let-7f-2"	"chrX_4"
"434"	"chrX"	55451495	55451582	"-"	"hsa-mir-4536-1"	"chrX_5"
"435"	"chrX"	55451495	55451582	"+"	"hsa-mir-4536-2"	"chrX_5"
"436"	"chrX"	74218377	74218461	"-"	"hsa-mir-421"	"chrX_6"
"437"	"chrX"	74218547	74218618	"-"	"hsa-mir-374b"	"chrX_6"
"438"	"chrX"	74218549	74218618	"+"	"hsa-mir-374c"	"chrX_6"
"439"	"chrX"	74287104	74287209	"-"	"hsa-mir-545"	"chrX_7"
"440"	"chrX"	74287286	74287357	"-"	"hsa-mir-374a"	"chrX_7"
"441"	"chrX"	114651544	114651623	"+"	"hsa-mir-1912"	"chrX_8"
"442"	"chrX"	114652655	114652723	"+"	"hsa-mir-1264"	"chrX_8"
"443"	"chrX"	134169378	134169452	"-"	"hsa-mir-363"	"chrX_9"
"444"	"chrX"	134169538	134169612	"-"	"hsa-mir-92a-2"	"chrX_9"
"445"	"chrX"	134169671	134169766	"-"	"hsa-mir-19b-2"	"chrX_9"
"446"	"chrX"	134169809	134169877	"-"	"hsa-mir-20b"	"chrX_9"
"447"	"chrX"	134170041	134170111	"-"	"hsa-mir-18b"	"chrX_9"
"448"	"chrX"	134170198	134170278	"-"	"hsa-mir-106a"	"chrX_9"
"449"	"chrX"	134540185	134540262	"-"	"hsa-mir-450b"	"chrX_10"
"450"	"chrX"	134540341	134540431	"-"	"hsa-mir-450a-1"	"chrX_10"
"451"	"chrX"	134540508	134540607	"-"	"hsa-mir-450a-2"	"chrX_10"
"452"	"chrX"	134541341	134541437	"-"	"hsa-mir-542"	"chrX_10"
"453"	"chrX"	134546328	134546398	"-"	"hsa-mir-503"	"chrX_10"
"454"	"chrX"	134546614	134546711	"-"	"hsa-mir-424"	"chrX_10"
"455"	"chrX"	145992750	145992826	"-"	"hsa-mir-892c"	"chrX_11"
"456"	"chrX"	145994275	145994351	"-"	"hsa-mir-890"	"chrX_11"
"457"	"chrX"	145994784	145994860	"-"	"hsa-mir-888"	"chrX_11"
"458"	"chrX"	145996669	145996743	"-"	"hsa-mir-892a"	"chrX_11"
"459"	"chrX"	145997198	145997274	"-"	"hsa-mir-892b"	"chrX_11"
"460"	"chrX"	146001053	146001131	"-"	"hsa-mir-891b"	"chrX_11"
"461"	"chrX"	147189704	147189787	"-"	"hsa-mir-513c"	"chrX_12"
"462"	"chrX"	147199044	147199127	"-"	"hsa-mir-513b"	"chrX_12"
"463"	"chrX"	147225826	147225952	"-"	"hsa-mir-513a-2"	"chrX_13"
"464"	"chrX"	147230720	147230843	"-"	"hsa-mir-506"	"chrX_13"
"465"	"chrX"	147230984	147231077	"-"	"hsa-mir-507"	"chrX_13"
"466"	"chrX"	147236913	147237027	"-"	"hsa-mir-508"	"chrX_13"
"467"	"chrX"	147250151	147250230	"-"	"hsa-mir-514b"	"chrX_14"
"468"	"chrX"	147258760	147258850	"-"	"hsa-mir-509-2"	"chrX_14"
"469"	"chrX"	147259652	147259726	"-"	"hsa-mir-509-3"	"chrX_14"
"470"	"chrX"	147260532	147260625	"-"	"hsa-mir-509-1"	"chrX_14"
"471"	"chrX"	147272335	147272408	"-"	"hsa-mir-510"	"chrX_15"
"472"	"chrX"	147279247	147279344	"-"	"hsa-mir-514a-1"	"chrX_15"
"473"	"chrX"	147281943	147282030	"-"	"hsa-mir-514a-2"	"chrX_15"
"474"	"chrX"	147284641	147284728	"-"	"hsa-mir-514a-3"	"chrX_15"
"475"	"chrX"	151958578	151958658	"-"	"hsa-mir-224"	"chrX_16"
"476"	"chrX"	151959628	151959712	"-"	"hsa-mir-452"	"chrX_16"
"477"	"chrX"	152392219	152392299	"-"	"hsa-mir-105-1"	"chrX_17"
"478"	"chrX"	152393421	152393529	"-"	"hsa-mir-767"	"chrX_17"
"479"	"chrX"	152394412	152394492	"-"	"hsa-mir-105-2"	"chrX_17"
"480"	"chrX"	153981097	153981177	"+"	"hsa-mir-3202-1"	"chrX_18"
"481"	"chrX"	153981098	153981176	"-"	"hsa-mir-3202-2"	"chrX_18"
